City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Pemangkat,ID,1.1667,108.9667,84.63,67,93,2.13,overcast clouds
102,Caceres,ES,39.522,-6.3748,55.62,97,100,0.43,light rain
103,Geraldton,AU,-28.7667,114.6,73.4,35,0,21.85,clear sky
104,Nakhon Si Thammarat,TH,8.25,100.0,88.0,70,20,3.85,few clouds
105,Mazamitla,MX,19.9167,-103.0333,58.66,44,19,3.96,few clouds
106,Louga,RU,58.7372,29.8453,34.3,75,99,7.94,overcast clouds
107,Barrow,US,71.2906,-156.7887,15.8,73,1,13.8,clear sky
108,Avera,US,33.194,-82.5271,73.4,40,90,8.05,overcast clouds
109,Sitka,US,57.0531,-135.33,42.8,81,90,6.91,light rain
110,Carnarvon,AU,-24.8667,113.6333,82.74,40,0,18.21,clear sky
111,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,21.85,snow
112,Khatanga,RU,71.9667,102.5,-3.69,92,56,9.86,broken clouds
113,Ngorongoro,TZ,-3.2397,35.4875,49.91,96,100,3.06,overcast clouds
114,San Juan,AR,-31.5375,-68.5364,69.73,40,0,4.41,clear sky
115,Batticaloa,LK,7.7102,81.6924,81.57,73,66,4.54,broken clouds
116,Vao,NC,-22.6667,167.4833,74.95,79,78,19.91,broken clouds
117,Aklavik,CA,68.2191,-135.0107,35.6,60,100,1.14,overcast clouds
118,Chapais,CA,49.7834,-74.8492,44.6,45,1,4.61,clear sky
119,Aguimes,ES,27.9054,-15.4461,68.0,72,40,11.5,scattered clouds
120,Brora,GB,58.0099,-3.8518,36.0,93,34,4.61,scattered clouds
121,Jhalrapatan,IN,24.55,76.1667,87.82,21,72,5.61,broken clouds
122,Sioux Lookout,CA,50.1001,-91.917,28.4,93,90,6.91,light snow
123,Ouadda,CF,8.0777,22.4007,69.08,12,60,3.65,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,0,5.75,light rain
125,Salalah,OM,17.0151,54.0924,77.0,78,20,4.61,few clouds
126,Port Lincoln,AU,-34.7333,135.8667,67.62,48,20,13.2,few clouds
127,Coahuayana,MX,18.7333,-103.6833,70.99,88,0,1.59,clear sky
128,Hofn,IS,64.2539,-15.2082,43.54,88,100,10.63,overcast clouds
129,Basoko,CD,1.2391,23.616,70.36,90,71,3.74,broken clouds
130,Kapoeta,SS,4.7717,33.5903,76.35,62,49,11.05,scattered clouds
131,Sherlovaya Gora,RU,50.5667,116.25,34.0,49,100,2.59,overcast clouds
132,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,64,20,13.0,few clouds
133,Komsomolskiy,UZ,40.4272,71.7189,62.6,48,100,6.93,overcast clouds
134,Sycamore,US,41.9889,-88.6868,41.0,65,90,10.36,overcast clouds
135,Horsham,GB,51.064,-0.3272,35.6,87,20,4.61,few clouds
136,Pendencias,BR,-5.26,-36.7222,74.41,92,65,5.66,broken clouds
137,Thompson,CA,55.7435,-97.8558,30.2,34,20,2.3,few clouds
138,Acarau,BR,-2.8856,-40.12,77.83,86,94,10.47,overcast clouds
139,Saint George,US,37.1041,-113.5841,66.2,16,1,10.36,clear sky
140,San Rafael Del Sur,NI,11.8485,-86.4384,86.0,54,40,11.5,scattered clouds
141,Klaksvik,FO,62.2266,-6.589,44.6,100,20,12.66,few clouds
142,Kavaratti,IN,10.5669,72.642,83.89,67,1,1.03,clear sky
143,Luis Correia,BR,-2.8792,-41.6669,78.44,86,85,11.32,overcast clouds
144,Port Hardy,CA,50.6996,-127.4199,53.6,54,40,12.66,scattered clouds
145,Hobart,AU,-42.8794,147.3294,59.0,38,20,20.71,few clouds
146,Verkhoyansk,RU,67.5447,133.385,14.29,75,98,1.92,overcast clouds
